JobId Command Name Site CreationTime QueuingDuration DownloadStartTime DownloadDuration ComputeStartTime ComputeDuration UploadStartTime UploadDuration TotalDuration logFile
32913798 gate.sh wn1207201.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 23934 23934 35 23969 18987 42956 10 19032 gate.sh-3127653229430468
32913800 gate.sh wn1206300.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 26352 26352 31 26383 16579 42962 10 16620 gate.sh-3127653526737087
32913803 gate.sh wn1904201.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 25739 25739 27 25766 17204 42970 11 17242 gate.sh-3127654053319279
32913804 gate.sh alicegrid53.ba.infn.it INFN-BARI 0 21405 21405 374 21779 20548 42327 78 21000 gate.sh-3127654197441353
32913805 gate.sh wn1905291.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 25716 25716 28 25744 17182 42926 11 17221 gate.sh-3127654334465758
32913806 gate.sh alicegrid74.ba.infn.it INFN-BARI 0 13183 13183 64 13247 19602 32849 32 19698 gate.sh-3127654467996797
32913807 gate.sh wn1208250.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 24485 24485 30 24515 18384 42899 9 18423 gate.sh-3127654638659648
32913808 gate.sh wn1208251.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 24758 24758 29 24787 18083 42870 11 18123 gate.sh-3127654796690100
32913809 gate.sh wn1909291.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 27040 27040 29 27069 15977 43046 10 16016 gate.sh-3127654969414212
32913811 gate.sh wn1206290.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 24668 24668 28 24696 18384 43080 10 18422 gate.sh-3127655244742889
32913812 gate.sh pccms109.ba.infn.it INFN-BARI 0 14022 14022 78 14100 24109 38209 26 24213 gate.sh-3127655355474104
32913813 gate.sh pccms95.ba.infn.it INFN-BARI 0 23888 23888 145 24033 17548 41581 111 17804 gate.sh-3127655475533184
32913814 gate.sh wn1208190.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 22181 22181 45 22226 20794 43020 10 20849 gate.sh-3127655603177964
32913815 gate.sh pccms97.ba.infn.it INFN-BARI 0 13501 13501 90 13591 10257 23848 28 10375 gate.sh-3127655730649066
32913818 gate.sh wn1905300.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 26972 26972 28 27000 16278 43278 10 16316 gate.sh-3127656055227706
32913820 gate.sh wn1206290.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 17857 17857 32 17889 19890 37779 9 19931 gate.sh-3127656280899584
32913821 gate.sh pccms84.ba.infn.it INFN-BARI 0 22934 22934 55 22989 16982 39971 89 17126 gate.sh-3127656390727018
32913822 gate.sh wn1206300.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 18494 18494 26 18520 18718 37238 49 18793 gate.sh-3127656505412631
32913824 gate.sh wn1908251.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 23568 23568 31 23599 17781 41380 38 17850 gate.sh-3127656722848416
32913825 gate.sh alicegrid93.ba.infn.it INFN-BARI 0 13160 13160 81 13241 20299 33540 16 20396 gate.sh-3127656821251878
32913826 gate.sh wn1207250.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 26329 26329 34 26363 16579 42942 9 16622 gate.sh-3127656919680664
32913830 gate.sh wn1909190.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 24439 24439 26 24465 18387 42852 9 18422 gate.sh-3127657336472843
32913831 gate.sh wn1207250.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 22661 22661 29 22690 16576 39266 13 16618 gate.sh-3127657437626818
32913833 gate.sh wn1207250.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 23752 23752 29 23781 19289 43070 9 19327 gate.sh-3127657633363953
32913834 gate.sh wizard03.ba.infn.it INFN-BARI 0 13114 13114 75 13189 14565 27754 71 14711 gate.sh-3127657738171831
32913837 gate.sh alicegrid57.ba.infn.it INFN-BARI 0 21860 21860 72 21932 12666 34598 18 12756 gate.sh-3127658050681649
32913838 gate.sh alicegrid96.ba.infn.it INFN-BARI 0 24849 24849 63 24912 16284 41196 10 16357 gate.sh-3127658147805997
32913839 gate.sh pccms103.ba.infn.it INFN-BARI 0 13000 13000 70 13070 22603 35673 13 22686 gate.sh-3127658242863242
32913840 gate.sh alicegrid53.ba.infn.it INFN-BARI 0 14090 14090 71 14161 18388 32549 41 18500 gate.sh-3127658346927438
32913842 gate.sh wn1208240.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 341 341 56 397 25925 26322 11 25992 gate.sh-3127658559290819
32913843 gate.sh wn1208200.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 24302 24302 30 24332 18684 43016 11 18725 gate.sh-3127658666514940
32913845 gate.sh wn090.hep.uk UKI-NORTHGRID-SHEF-HEP 0 37757 37757 612 38369 31338 69707 16 31966 gate.sh-3127658863128044
32913846 gate.sh alicegrid103.ba.infn.it INFN-BARI 0 13274 13274 58 13332 24714 38046 28 24800 gate.sh-3127658974206201
32913847 gate.sh wn1908251.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 24120 24120 36 24156 17151 41307 59 17246 gate.sh-3127659076349905
32913848 gate.sh alicegrid103.ba.infn.it INFN-BARI 0 13160 13160 65 13225 18093 31318 18 18176 gate.sh-3127659172154766
32913849 gate.sh wn1904250.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 23387 23387 39 23426 16631 40057 22 16692 gate.sh-3127659269811145
32913852 gate.sh pccms95.ba.infn.it INFN-BARI 0 13023 13023 79 13102 12979 26081 27 13085 gate.sh-3127659568371863
32913853 gate.sh pccms124.ba.infn.it INFN-BARI 0 13524 13524 62 13586 18386 31972 40 18488 gate.sh-3127659670442878
32913854 gate.sh wn1206190.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 23342 23342 26 23368 18686 42054 10 18722 gate.sh-3127659769786995
32913855 gate.sh wn1206201.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 23888 23888 28 23916 13388 37304 22 13438 gate.sh-3127659869770662
32913857 gate.sh wn1206250.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 22362 22362 30 22392 20492 42884 10 20532 gate.sh-3127660068223907
32913859 gate.sh pccms84.ba.infn.it INFN-BARI 0 14000 14000 116 14116 13878 27994 28 14022 gate.sh-3127660268357523
32913860 gate.sh wn1905291.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 24120 24120 32 24152 11458 35610 79 11569 gate.sh-3127660585738767
32913862 gate.sh wn1206201.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 0 25671 25671 27 25698 17182 42880 9 17218 gate.sh-3127660797543854
32913863 gate.sh wn2205190.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 23409 23410 28 23438 17511 40949 20 17559 gate.sh-3127660892761797
32913864 gate.sh wn1905191.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 24598 24599 30 24629 18383 43012 10 18423 gate.sh-3127660995760840
32913865 gate.sh wn1207291.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 23363 23364 29 23393 18981 42374 9 19019 gate.sh-3127661100050614
32913866 gate.sh wn1905291.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 23842 23843 58 23901 15162 39063 16 15236 gate.sh-3127661196130170
32913868 gate.sh wn2205190.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 25692 25693 25 25718 17181 42899 9 17215 gate.sh-3127661390191671
32913870 gate.sh wn2206291.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 25692 25693 30 25723 17181 42904 10 17221 gate.sh-3127661580773258
32913872 gate.sh alicegrid57.ba.infn.it INFN-BARI 1 21812 21813 112 21925 12670 34595 29 12811 gate.sh-3127661780662853
32913873 gate.sh wn1208191.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 24917 24918 37 24955 18081 43036 10 18128 gate.sh-3127661880567929
32913874 gate.sh wn2205200.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 24917 24918 29 24947 18085 43032 11 18125 gate.sh-3127662189749468
32913875 gate.sh wn1207191.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 27154 27155 29 27184 15673 42857 9 15711 gate.sh-3127662284595215
32913876 gate.sh wn2206301.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 23295 23296 28 23324 19613 42937 12 19653 gate.sh-3127662385028588
32913877 gate.sh wn1206300.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 24484 24485 26 24511 18687 43198 9 18722 gate.sh-3127662484283036
32913878 gate.sh wn2206191.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 24757 24758 28 24786 18084 42870 11 18123 gate.sh-3127662585925220
32913879 gate.sh wn1208250.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 22386 22387 26 22413 18722 41135 13 18761 gate.sh-3127662678205227
32913880 gate.sh wn1206201.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 24575 24576 28 24604 17781 42385 9 17818 gate.sh-3127662773886718
32913881 gate.sh wn1207190.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 22933 22934 26 22960 19892 42852 9 19927 gate.sh-3127662869845509
32913882 gate.sh wn1206190.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 25510 25511 26 25537 17479 43016 9 17514 gate.sh-3127662965817846
32913883 gate.sh wn1910191.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 25578 25579 29 25608 17482 43090 10 17521 gate.sh-3127663066040599
32913884 gate.sh wn1207291.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 1 25306 25307 31 25338 17480 42818 9 17520 gate.sh-3127663157033748
32913885 gate.sh wn1904251.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 23 24804 24827 31 24858 18119 42977 22 18172 gate.sh-3127663251091576
32913886 gate.sh wn1905300.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 23 24097 24120 33 24153 18857 43010 47 18937 gate.sh-3127663351850520
32913887 gate.sh wn1909251.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 23 25784 25807 29 25836 17180 43016 10 17219 gate.sh-3127663446881533
32913888 gate.sh wn2206250.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 23 23002 23025 30 23055 19890 42945 10 19930 gate.sh-3127663547520188
32913889 gate.sh wn1205200.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 23 22774 22797 32 22829 20191 43020 11 20234 gate.sh-3127663643109205
32913890 gate.sh wn1909290.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 23 26033 26056 27 26083 16879 42962 10 16916 gate.sh-3127663740451108
32913891 gate.sh wn1206201.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 23 24005 24028 32 24060 13210 37270 30 13272 gate.sh-3127663834029153
32913892 gate.sh wn2205251.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 24 22978 23002 30 23032 19921 42953 14 19965 gate.sh-3127663926894959
32913894 gate.sh wn1205290.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 24 23705 23729 39 23768 19283 43051 9 19331 gate.sh-3127664119725893
32913895 gate.sh wn1904241.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 24 23636 23660 28 23688 19354 43042 19 19401 gate.sh-3127664211671091
32913896 gate.sh wn1904250.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 24 23614 23638 26 23664 19283 42947 12 19321 gate.sh-3127664310312282
32913897 gate.sh wn1909240.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 24 27959 27983 33 28016 15072 43088 10 15115 gate.sh-3127664409470066
32917406 gate.sh wn1905241.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 17560 18953 36513 193 36706 6338 43044 9 6540 gate.sh-3127657021572764
32917407 gate.sh wn1910251.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 17628 18935 36563 183 36746 6339 43085 9 6531 gate.sh-3127656168551303
32917408 gate.sh wn1910300.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 17673 18840 36513 189 36702 6342 43044 11 6542 gate.sh-3127659964486887
32917409 gate.sh wn1909250.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 17720 18939 36659 142 36801 6043 42844 9 6194 gate.sh-3127653377661423
32917410 gate.sh wn1908251.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 17788 18725 36513 302 36815 6184 42999 10 6496 gate.sh-3127655100931638
32917915 gate.sh wn1206190.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 21563 20509 42072 31 42103 917 43020 9 957 gate.sh-3127658762860233
32917917 gate.sh wn1205250.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 21767 20350 42117 31 42148 924 43072 12 967 gate.sh-3127653728113128
32917919 gate.sh wn1207291.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 21836 20576 42412 26 42438 615 43053 9 650 gate.sh-3127657533579189
32917928 gate.sh wn1206201.tier2.hep.manchester.ac.uk UKI-NORTHGRID-MAN-HEP 25168 17289 42457 27 42484 314 42798 8 349 gate.sh-3127656618227675
32921374 gate.sh cn210.uk UKI-LT2-QMUL 43703 30372 74075 73 74148 369 74517 18 460 gate.sh-3127657953199820
32921375 gate.sh cn210.uk UKI-LT2-QMUL 43703 30633 74336 78 74414 352 74766 18 448 gate.sh-3127660694330026
32921377 gate.sh cn201.uk UKI-LT2-QMUL 43726 30515 74241 66 74307 336 74643 14 416 gate.sh-3127661293217854
