JobId Command Name Site CreationTime QueuingDuration DownloadStartTime DownloadDuration ComputeStartTime ComputeDuration UploadStartTime UploadDuration TotalDuration logFile
33039658 gate.sh cirigridwn02.univ-bpclermont.fr AUVERGRID 23 45 68 542 610 8774 9384 12 9328 gate.sh-1245717686333883
33039659 gate.sh cirigridwn01.univ-bpclermont.fr AUVERGRID 23 22 45 169 214 8510 8724 12 8691 gate.sh-1245717844605476
33039660 gate.sh cirigridwn02.univ-bpclermont.fr AUVERGRID 0 23 23 625 648 9009 9657 13 9647 gate.sh-1245718001563203
33039661 gate.sh cirigridwn04.univ-bpclermont.fr AUVERGRID 0 23 23 224 247 8760 9007 12 8996 gate.sh-1245718155594093
33039662 gate.sh cirigridwn04.univ-bpclermont.fr AUVERGRID 23 22 45 87 132 8720 8852 12 8819 gate.sh-1245718307704538
33039664 gate.sh cirigridwn01.univ-bpclermont.fr AUVERGRID 1 22 23 109 132 8642 8774 11 8762 gate.sh-1245718442197831
33039665 gate.sh cirigridwn01.univ-bpclermont.fr AUVERGRID 23 157 180 47 227 8609 8836 11 8667 gate.sh-1245718572253933
33039666 gate.sh cirigridwn04.univ-bpclermont.fr AUVERGRID 1 22 23 143 166 8889 9055 11 9043 gate.sh-1245718697951075
33039667 gate.sh cirigridwn02.univ-bpclermont.fr AUVERGRID 1 22 23 504 527 9012 9539 13 9529 gate.sh-1245718808415770
33039668 gate.sh cirigridwn01.univ-bpclermont.fr AUVERGRID 23 405 428 41 469 8662 9131 12 8715 gate.sh-1245718918691800
33039669 gate.sh cirigridwn01.univ-bpclermont.fr AUVERGRID 23 90 113 79 192 8710 8902 11 8800 gate.sh-1245719026260570
33039670 gate.sh cirigridwn01.univ-bpclermont.fr AUVERGRID 23 405 428 114 542 8684 9226 13 8811 gate.sh-1245719132869418
33039671 gate.sh cirigridwn01.univ-bpclermont.fr AUVERGRID 23 135 158 114 272 8711 8983 12 8837 gate.sh-1245719240672836
33039672 gate.sh cirigridwn04.univ-bpclermont.fr AUVERGRID 23 22 45 125 170 8748 8918 13 8886 gate.sh-1245719357044223
33039673 gate.sh cirigridwn04.univ-bpclermont.fr AUVERGRID 23 22 45 91 136 8842 8978 12 8945 gate.sh-1245719480761269
33039674 gate.sh cirigridwn02.univ-bpclermont.fr AUVERGRID 2 21 23 502 525 8953 9478 14 9469 gate.sh-1245719603409587
33039675 gate.sh cirigridwn01.univ-bpclermont.fr AUVERGRID 23 112 135 116 251 8634 8885 13 8763 gate.sh-1245719719940095
33039676 gate.sh cirigridwn04.univ-bpclermont.fr AUVERGRID 23 67 90 93 183 8858 9041 12 8963 gate.sh-1245719829955326
33039677 gate.sh cirigridwn02.univ-bpclermont.fr AUVERGRID 3 42 45 614 659 8928 9587 12 9554 gate.sh-1245719947816041
33039678 gate.sh cirigridwn03.univ-bpclermont.fr AUVERGRID 23 112 135 373 508 9155 9663 13 9541 gate.sh-1245720055285535
33039680 gate.sh marwn70.in2p3.fr IN2P3-CPPM 23 203 226 53 279 9442 9721 15 9510 gate.sh-1245720168919452
33039681 gate.sh cirigridwn01.univ-bpclermont.fr AUVERGRID 23 360 383 36 419 8693 9112 11 8740 gate.sh-1245720275824324
33039682 gate.sh cirigridwn04.univ-bpclermont.fr AUVERGRID 23 22 45 67 112 8899 9011 11 8977 gate.sh-1245720381579111
33039683 gate.sh cirigridwn01.univ-bpclermont.fr AUVERGRID 23 22 45 192 237 8724 8961 11 8927 gate.sh-1245720483266386
33039684 gate.sh cirigridwn02.univ-bpclermont.fr AUVERGRID 23 405 428 444 872 8656 9528 14 9114 gate.sh-1245720585515330
33043454 merge.sh cirigridwn03.univ-bpclermont.fr AUVERGRID 9766 23 9789 35 9824 135 9959 16 186 merge.sh-1255482396832728
