JobId,DownloadDuration_File,UploadDuration_File
33039658,44.2,1.01
33039659,105.75,1.01
33039660,142.4,1
33039661,145.53,1.01
33039662,48.27,1
33039664,48.75,1.01
33039665,22.07,1
33039666,82.01,1
33039667,107.53,1.01
33039668,15.07,1.01
33039669,50.58,1.01
33039670,80.1,1.01
33039671,88.48,1.01
33039672,73.41,1.01
33039673,41.08,1.01
33039674,118.74,1
33039675,86.99,1.01
33039676,56.77,1.01
33039677,151.38,1.01
33039678,122.52,1
33039680,16.65,1
33039681,10.07,1
33039682,16.06,1
33039683,128.96,1.01
33039684,175.74,2
33043454,31.13,3.02
